FID,u,v,key,osmid,highway,oneway,length,name,lanes,bridge,ref,tunnel,junction,maxspeed,id,source,target,FID_1,id_1,avg_0,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,avg_11,avg_12,avg_13,avg_14,avg_15,avg_16,avg_17,avg_18,avg_19,avg_20,avg_21,avg_22,avg_23,fill_ratio,highway_1,drop
10,314622918.000000000000000,672287905.000000000000000,0.000000000000000,458891646,primary,True,499.044000000000040,蜀都大道少城路,3, , , , , ,12.000000000000000,314622918.000000000000000,672287905.000000000000000,12,12.000000000000000,9.547931620510001,10.712963320200000,8.855923229100000,11.125586515400000,12.016080857600000,13.703085496600000,10.733822642600000,5.916095124280000,5.241530263360000,6.164494919890000,6.094012435760000,6.124079339800000,6.730785875230000,6.539518764450000,4.908620163350000,5.213267890690000,5.144530331050000,5.846873570650000,5.884452589390000,6.597827704400000,6.388759376670000,6.708814272540000,7.698684058690000,8.006157949860000,1.000000000000000,primary,1
11,314623160.000000000000000,1305816712.000000000000000,0.000000000000000,28620976,secondary,True,173.055000000000007,西玉龙街, , , , , , ,16.000000000000000,314623160.000000000000000,1305816712.000000000000000,16,16.000000000000000,12.247444729400000,12.860972878500000,14.363320769700000,12.681606537800000,13.493416814700000,14.695940476200001,12.882983333300000,11.466021327600000,12.520852398100001,11.053045450500001,11.978366872100001,11.354878919800001,11.002193583000000,11.771373801099999,11.652625535000000,11.891408294300000,12.350820871800000,11.121612667300001,10.606074983999999,11.107755240099999,12.358345501000001,11.606612998099999,11.623653588800000,12.389593600600000,1.000000000000000,secondary,1
12,314623160.000000000000000,5602701336.000000000000000,0.000000000000000,576653470,primary,True,13.000999999999999,顺城大街,4, , , , , ,17.000000000000000,314623160.000000000000000,5602701336.000000000000000,17,17.000000000000000,2.815547258760000,3.641483796300000,3.629945103690000,3.566246527780000,3.651515432100000,3.354287182940000,3.279141111110000,3.565711897370000,3.254764703900000,3.274103816320000,2.987308490040000,3.443320194690000,3.245559514890000,3.334974608590000,3.345239857660000,3.251277287790000,3.338413196380000,3.056204362420000,3.154781867610000,3.068756793520000,3.447662373940000,2.941701090770000,3.166557096810000,3.526966810970000,1.000000000000000,primary,1
13,314635488.000000000000000,1159149010.000000000000000,0.000000000000000,53114535,primary,True,106.525999999999996,东大街上东大街段, , , , , , ,18.000000000000000,314635488.000000000000000,1159149010.000000000000000,18,18.000000000000000,13.597540180699999,14.310614128399999,14.941170607000000,14.523044666700001,11.505585782600001,12.277179520700001,12.891189855100000,11.070013118500000,5.583128607060000,6.488437156950000,3.411082034700000,2.685830474180000,3.465043491190000,2.206124649140000,2.213008158810000,2.488631098960000,2.238033646910000,2.325388478180000,2.918396205520000,4.820088520160000,6.395583319740000,7.627904497250000,8.807365885270000,10.669217763400001,1.000000000000000,primary,1
14,432432527.000000000000000,8451427155.000000000000000,0.000000000000000,53104271,secondary,True,37.249000000000002,小南街,3, , , , , ,23.000000000000000,432432527.000000000000000,8451427155.000000000000000,23,23.000000000000000,0.344898148148000,1.583186315500000,0.000000000000000,0.000000000000000,3.104083333330000,0.000000000000000,0.000000000000000,5.032523133810000,0.386140470681000,0.792531914894000,0.600790322581000,3.740758637850000,0.139509363296000,0.000000000000000,6.248742919390000,1.463353571430000,0.491064817282000,8.447642313550000,5.207489573820000,12.416333333300001,2.242925034490000,0.000000000000000,0.000000000000000,0.740623391813000,0.708333333333000,secondary,1
15,432432527.000000000000000,4548259625.000000000000000,0.000000000000000,834261714,secondary,True,10.372000000000000,锦里中路, , , , , , ,24.000000000000000,432432527.000000000000000,4548259625.000000000000000,24,24.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,secondary,0
16,432432531.000000000000000,432432535.000000000000000,0.000000000000000,"[37129305, 37129306, 37129303]",primary,True,98.103000000000009,"['锦官桥', '大石东路']",3,yes, , , , ,26.000000000000000,432432531.000000000000000,432432535.000000000000000,26,26.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,primary,0
17,432432535.000000000000000,5514126835.000000000000000,0.000000000000000,37129304,tertiary,False,136.033999999999992,芳邻路, , , , , , ,29.000000000000000,432432535.000000000000000,5514126835.000000000000000,29,29.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,tertiary,0
18,432432536.000000000000000,5514126835.000000000000000,0.000000000000000,37129304,tertiary,False,112.242999999999995,芳邻路, , , , , , ,31.000000000000000,432432536.000000000000000,5514126835.000000000000000,31,31.000000000000000,0.818776413173000,0.750032854839000,0.795419347974000,0.677535202991000,0.000000000000000,0.000000000000000,0.000000000000000,0.529278244506000,0.663912128644000,4.215313464340000,0.877422505139000,0.720940510062000,0.719506410256000,0.645842658730000,0.448841907310000,3.032777883970000,0.670620970063000,0.694121142001000,0.535073266647000,3.192200633020000,1.089737864080000,0.813146624272000,0.565919464990000,0.863407692308000,0.875000000000000,tertiary,1
19,432432536.000000000000000,5514126832.000000000000000,0.000000000000000,37129304,tertiary,False,407.338000000000079,芳邻路, , , , , , ,32.000000000000000,432432536.000000000000000,5514126832.000000000000000,32,32.000000000000000,0.004757732199590,0.000000000000000,4.682045977010000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.067522048460000,2.940623586750000,1.020554237030000,2.509397113480000,1.238709938000000,1.341868859170000,0.797910853104000,1.184146974970000,1.000047962080000,1.438325417980000,0.619631006537000,1.779351276550000,2.194836998260000,0.821741230494000,6.193668019940000,1.572829959270000,3.021071402250000,0.791666666667000,tertiary,1
20,432432540.000000000000000,5514126832.000000000000000,0.000000000000000,37129304,tertiary,False,66.183000000000007,芳邻路, , , , , , ,34.000000000000000,432432540.000000000000000,5514126832.000000000000000,34,34.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,tertiary,0
21,432432540.000000000000000,7882409059.000000000000000,0.000000000000000,"[363921393, 890791645]",primary,True,202.323999999999984,一环路西一段,3,yes, , , , ,36.000000000000000,432432540.000000000000000,7882409059.000000000000000,36,36.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,primary,0
